#tax_id,GeneID,Symbol_from_nomenclature_authority
9606,122,-
9606,169,-
9606,170,-
9606,192,-
9606,201,-
9606,253,-
9606,424,-
9606,425,-
9606,431,-
9606,465,-
9606,470,-
9606,603,-
9606,628,-
9606,878,-
9606,882,-
9606,1083,-
9606,1156,-
9606,1167,-
9606,1218,-
9606,1243,-
9606,1253,-
9606,1254,-
9606,1255,-
9606,1257,-
9606,1275,-
9606,1283,-
9606,1319,-
9606,1483,-
9606,1484,-
9606,1526,-
9606,1541,-
9606,1566,-
9606,1680,-
9606,1694,-
9606,1697,-
9606,1705,-
9606,1706,-
9606,1709,-
9606,1713,-
9606,1732,-
9606,1784,-
9606,1858,-
9606,1866,-
9606,1878,-
9606,1881,-
9606,1884,-
9606,1913,-
9606,1914,-
9606,1940,-
9606,1957,-
9606,2031,-
9606,2032,-
9606,2112,-
9606,2133,-
9606,2141,-
9606,2221,-
9606,2233,-
9606,2278,-
9606,2279,-
9606,2420,-
9606,2489,-
9606,2522,-
9606,2656,-
9606,2722,-
9606,2723,-
9606,2724,-
9606,2728,-
9606,2933,-
9606,2973,-
9606,3056,-
9606,3063,-
9606,3244,-
9606,3247,-
9606,3258,-
9606,3341,-
9606,3342,-
9606,3343,-
9606,3378,-
9606,3402,-
9606,3403,-
9606,3405,-
9606,3406,-
9606,3407,-
9606,3410,-
9606,3412,-
9606,3414,-
9606,3438,-
9606,3478,-
9606,3496,-
9606,3519,-
9606,3546,-
9606,3548,-
9606,3719,-
9606,3905,-
9606,4095,-
9606,4096,-
9606,4156,-
9606,4264,-
9606,4265,-
9606,4266,-
9606,4309,-
9606,4364,-
9606,4378,-
9606,4384,-
9606,4387,-
9606,4406,-
9606,4416,-
9606,4429,-
9606,4434,-
9606,4657,-
9606,4658,-
9606,4813,-
9606,4819,-
9606,4933,-
9606,4934,-
9606,4936,-
9606,4937,-
9606,4941,-
9606,4963,-
9606,4964,-
9606,4965,-
9606,4977,-
9606,4981,-
9606,5012,-
9606,5072,-
9606,5120,-
9606,5177,-
9606,5548,-
9606,5765,-
9606,5953,-
9606,6012,-
9606,6022,-
9606,6104,-
9606,6114,-
9606,6116,-
9606,6298,-
9606,6365,-
9606,6377,-
9606,6378,-
9606,6420,-
9606,6463,-
9606,6739,-
9606,6761,-
9606,6762,-
9606,6893,-
9606,6946,-
9606,7055,-
9606,7063,-
9606,7085,-
9606,7209,-
9606,7211,-
9606,7396,-
9606,7420,-
9606,7438,-
9606,7446,-
9606,7467,-
9606,7488,-
9606,7506,-
9606,7523,-
9606,7792,-
9606,7795,-
9606,7808,-
